Assembly Center origin,latitude1,longitude1,Relocation Center destination,latitude2,longitude2,Transfer order number,Date of Departure,Date of Arrival,Persons transferred,
Tanforan,37.63639350072774,-122.4178663033512,Central Utah,39.4185387463784,-112.7735380861466,18,9/22/1942,9/24/1942,516,
Tanforan,37.63639350072774,-122.4178663033512,Central Utah,39.4185387463784,-112.7735380861466,18,9/26/1942,9/28/1942,525,
Tanforan,37.63639350072774,-122.4178663033512,Central Utah,39.4185387463784,-112.7735380861466,18,9/27/1942,9/29/1942,514,
Tanforan,37.63639350072774,-122.4178663033512,Central Utah,39.4185387463784,-112.7735380861466,18,9/28/1942,9/30/1942,516,
Tanforan,37.63639350072774,-122.4178663033512,Central Utah,39.4185387463784,-112.7735380861466,18,9/29/1942,10/1/1942,513,
Tanforan,37.63639350072774,-122.4178663033512,Central Utah,39.4185387463784,-112.7735380861466,18,9/30/1942,10/2/1942,522,
Tanforan,37.63639350072774,-122.4178663033512,Central Utah,39.4185387463784,-112.7735380861466,18,10/1/1942,10/3/1942,527,
Tanforan,37.63639350072774,-122.4178663033512,Central Utah,39.4185387463784,-112.7735380861466,18,10/13/1942,10/15/1942,308,
Santa Anita,34.14056064351376,-118.0444206861681,Granada,38.05578345756824,-102.3293222262865,19,9/17/1942,9/19/1942,495,
Santa Anita,34.14056064351376,-118.0444206861681,Granada,38.05578345756824,-102.3293222262865,19,9/19/1942,9/21/1942,524,
Santa Anita,34.14056064351376,-118.0444206861681,Granada,38.05578345756824,-102.3293222262865,19,9/21/1942,9/24/1942,514,
Santa Anita,34.14056064351376,-118.0444206861681,Granada,38.05578345756824,-102.3293222262865,19,9/23/1942,9/25/1942,500,
Santa Anita,34.14056064351376,-118.0444206861681,Granada,38.05578345756824,-102.3293222262865,19,9/25/1942,9/27/1942,452,
Santa Anita,34.14056064351376,-118.0444206861681,Granada,38.05578345756824,-102.3293222262865,19,9/27/1942,9/29/1942,457,
Portland,45.60688989752562,-122.6898138969299,Heart Mountain,44.670525,-108.9498194444444,20,9/9/1942,9/11/1942,48,
Santa Anita,34.14056064351376,-118.0444206861681,Rohwer,33.76635073468211,-91.275882359956,21,9/20/1942,9/24/1942,503,
Santa Anita,34.14056064351376,-118.0444206861681,Rohwer,33.76635073468211,-91.275882359956,21,9/22/1942,9/26/1942,522,
Santa Anita,34.14056064351376,-118.0444206861681,Rohwer,33.76635073468211,-91.275882359956,21,9/24/1942,9/27/1942,496,
Santa Anita,34.14056064351376,-118.0444206861681,Rohwer,33.76635073468211,-91.275882359956,21,9/26/1942,9/30/1942,494,
Santa Anita,34.14056064351376,-118.0444206861681,Rohwer,33.76635073468211,-91.275882359956,21,9/28/1942,10/1/1942,492,
Santa Anita,34.14056064351376,-118.0444206861681,Rohwer,33.76635073468211,-91.275882359956,21,9/30/1942,10/3/1942,453,
Santa Anita,34.14056064351376,-118.0444206861681,Rohwer,33.76635073468211,-91.275882359956,21,10/2/1942,10/6/1942,480,
Santa Anita,34.14056064351376,-118.0444206861681,Rohwer,33.76635073468211,-91.275882359956,21,10/4/1942,10/7/1942,417,
Santa Anita,34.14056064351376,-118.0444206861681,Rohwer,33.76635073468211,-91.275882359956,21,10/6/1942,10/10/1942,389,
Stockton,37.93729616824986,-121.267282529392,Rohwer,33.76635073468211,-91.275882359956,22,9/14/1942,9/18/1942,249,
Stockton,37.93729616824986,-121.267282529392,Rohwer,33.76635073468211,-91.275882359956,22,10/3/1942,10/7/1942,512,
Stockton,37.93729616824986,-121.267282529392,Rohwer,33.76635073468211,-91.275882359956,22,10/5/1942,10/9/1942,515,
Stockton,37.93729616824986,-121.267282529392,Rohwer,33.76635073468211,-91.275882359956,22,10/7/1942,10/11/1942,426,
Stockton,37.93729616824986,-121.267282529392,Rohwer,33.76635073468211,-91.275882359956,22,10/9/1942,10/13/1942,423,
Stockton,37.93729616824986,-121.267282529392,Rohwer,33.76635073468211,-91.275882359956,22,10/11/1942,10/15/1942,417,
Stockton,37.93729616824986,-121.267282529392,Rohwer,33.76635073468211,-91.275882359956,22,10/13/1942,10/17/1942,432,
Stockton,37.93729616824986,-121.267282529392,Rohwer,33.76635073468211,-91.275882359956,22,10/15/1942,10/19/1942,414,
Stockton,37.93729616824986,-121.267282529392,Rohwer,33.76635073468211,-91.275882359956,22,10/17/1942,10/21/1942,425,
Santa Anita,34.14056064351376,-118.0444206861681,Central Utah,39.4185387463784,-112.7735380861466,23,10/7/1942,10/9/1942,550,
Santa Anita,34.14056064351376,-118.0444206861681,Jerome,33.41131951904563,-91.46229486564768,24,10/8/1942,10/11/1942,510,
Santa Anita,34.14056064351376,-118.0444206861681,Jerome,33.41131951904563,-91.46229486564768,24,10/10/1942,10/13/1942,457,
Santa Anita,34.14056064351376,-118.0444206861681,Jerome,33.41131951904563,-91.46229486564768,24,10/12/1942,10/16/1942,476,
Santa Anita,34.14056064351376,-118.0444206861681,Jerome,33.41131951904563,-91.46229486564768,24,10/14/1942,10/18/1942,472,
Santa Anita,34.14056064351376,-118.0444206861681,Jerome,33.41131951904563,-91.46229486564768,24,10/16/1942,10/19/1942,355,
