far_id,camp,pre_city,pre_state,dest_city,dest_state,date_of_final_departure,pre_lat,pre_lng,dest_lat,dest_lng
manzanar1-2069,7-manzanar,Poughkeepsie,NY,New York,NY,1944-10-16 00:00:00,41.701908,-73.911521,40.750422,-73.996328
manzanar1-2070,7-manzanar,Poughkeepsie,NY,New York,NY,1944-10-16 00:00:00,41.701908,-73.911521,40.750422,-73.996328
manzanar1-2071,7-manzanar,West Los Angeles,CA,West Los Angeles,CA,1945-05-03 00:00:00,34.046399,-118.448135,34.046399,-118.448135
manzanar1-2072,7-manzanar,West Los Angeles,CA,North Los Angeles,CA,1945-06-16 00:00:00,34.046399,-118.448135,33.973951,-118.248405
manzanar1-2073,7-manzanar,West Los Angeles,CA,North Los Angeles,CA,1945-06-16 00:00:00,34.046399,-118.448135,33.973951,-118.248405
manzanar1-2074,7-manzanar,San Ferdo,CA,Idaho Falls,ID,1943-04-03 00:00:00,39.58988,-122.449991,43.54241,-111.877936
manzanar1-2075,7-manzanar,Terminal Island,CA,Seabrook,NJ,1945-10-31 00:00:00,40.026261,-123.490301,,
manzanar1-2076,7-manzanar,Terminal Island,CA,Seabrook,NJ,1945-10-31 00:00:00,40.026261,-123.490301,,
manzanar1-2077,7-manzanar,Terminal Island,CA,New York,NY,1945-10-02 00:00:00,40.026261,-123.490301,40.750422,-73.996328
manzanar1-2078,7-manzanar,Terminal Island,CA,New York,NY,1945-10-02 00:00:00,40.026261,-123.490301,40.750422,-73.996328
manzanar1-2080,7-manzanar,Los Angeles,CA,Chicago,IL,1944-05-15 00:00:00,33.973951,-118.248405,41.88531,-87.62213
manzanar1-2082,7-manzanar,Los Angeles,CA,Chicago,IL,1944-07-09 00:00:00,33.973951,-118.248405,41.88531,-87.62213
manzanar1-2083,7-manzanar,Los Angeles,CA,Chicago,IL,1944-07-09 00:00:00,33.973951,-118.248405,41.88531,-87.62213
manzanar1-2087,7-manzanar,Santa Monica,CA,Naperville,IL,1944-11-03 00:00:00,34.013666,-118.49375,41.759029,-88.152381
manzanar1-2088,7-manzanar,Santa Monica,CA,Naperville,IL,1944-11-13 00:00:00,34.013666,-118.49375,41.759029,-88.152381
manzanar1-2089,7-manzanar,Encino,CA,Los Angeles,CA,1945-11-08 00:00:00,34.160236,-118.515472,33.973951,-118.248405
manzanar1-2092,7-manzanar,Los Angeles,CA,New York,NY,1944-05-31 00:00:00,33.973951,-118.248405,40.750422,-73.996328
manzanar1-2093,7-manzanar,Los Angeles,CA,Sacramento,CA,1945-10-17 00:00:00,33.973951,-118.248405,38.380456,-121.555406
manzanar1-2095,7-manzanar,Los Angeles,CA,Los Angeles,CA,1945-10-12 00:00:00,33.973951,-118.248405,33.973951,-118.248405
manzanar1-2096,7-manzanar,Los Angeles,CA,Los Angeles,CA,1945-09-25 00:00:00,33.973951,-118.248405,33.973951,-118.248405
manzanar1-2097,7-manzanar,Guadalupe,CA,Guadalupe,CA,1945-10-30 00:00:00,34.938796,-120.57318,34.938796,-120.57318
manzanar1-2098,7-manzanar,Pasadena,CA,Washington,DC,1944-08-16 00:00:00,33.786594,-118.298662,38.911936,-77.016719
manzanar1-2099,7-manzanar,Pasadena,CA,Chicago,IL,1944-08-23 00:00:00,33.786594,-118.298662,41.88531,-87.62213
manzanar1-2100,7-manzanar,Pasadena,CA,Chicago,IL,1942-12-11 00:00:00,33.786594,-118.298662,41.88531,-87.62213
manzanar1-2101,7-manzanar,Pasadena,CA,Lincoln,NE,1943-03-09 00:00:00,33.786594,-118.298662,40.865142,-96.823133
manzanar1-2102,7-manzanar,Pasadena,CA,Chicago,IL,1943-07-06 00:00:00,33.786594,-118.298662,41.88531,-87.62213
manzanar1-2104,7-manzanar,Terminal Island,CA,Japan,JAPAN,1943-08-24 00:00:00,40.026261,-123.490301,35.662,139.653
manzanar1-2105,7-manzanar,Terminal Island,CA,Japan,JAPAN,1943-08-24 00:00:00,40.026261,-123.490301,35.662,139.653
manzanar1-2106,7-manzanar,Linden,CA,Linden,CA,1945-08-25 00:00:00,38.017322,-121.039852,38.017322,-121.039852
manzanar1-2107,7-manzanar,Linden,CA,Linden,CA,1945-08-25 00:00:00,38.017322,-121.039852,38.017322,-121.039852
manzanar1-2108,7-manzanar,Linden,CA,Pocatello,ID,1945-03-08 00:00:00,38.017322,-121.039852,42.904933,-112.380079
manzanar1-2109,7-manzanar,Linden,CA,Linden,CA,1945-06-30 00:00:00,38.017322,-121.039852,38.017322,-121.039852
manzanar1-2110,7-manzanar,Los Angeles,CA,Bridgeton,NJ,1945-06-07 00:00:00,33.973951,-118.248405,39.3762,-75.1617
manzanar1-2111,7-manzanar,Los Angeles,CA,Bridgeton,NJ,1945-06-07 00:00:00,33.973951,-118.248405,39.3762,-75.1617
manzanar1-2112,7-manzanar,,,Bridgeton,NJ,1945-06-07 00:00:00,,,39.3762,-75.1617
manzanar1-2113,7-manzanar,Los Angeles,CA,Delta,CO,1945-04-17 00:00:00,33.973951,-118.248405,38.74221,-108.06896
manzanar1-2114,7-manzanar,Los Angeles,CA,Delta,CO,1945-04-17 00:00:00,33.973951,-118.248405,38.74221,-108.06896
manzanar1-2115,7-manzanar,Los Angeles,CA,Burbank,CA,1945-11-14 00:00:00,33.973951,-118.248405,34.200993,-118.292773
manzanar1-2116,7-manzanar,Los Angeles,CA,Twin Falls,ID,1943-09-16 00:00:00,33.973951,-118.248405,42.400555,-114.524876
manzanar1-2117,7-manzanar,Los Angeles,CA,Los Angeles,CA,1942-07-27 00:00:00,33.973951,-118.248405,33.973951,-118.248405
manzanar1-2124,7-manzanar,Los Angeles,CA,Los Angeles,CA,1945-11-18 00:00:00,33.973951,-118.248405,33.973951,-118.248405
manzanar1-2130,7-manzanar,Los Angeles,CA,Freeport,IL,1943-08-04 00:00:00,33.973951,-118.248405,42.323529,-89.591606
manzanar1-2131,7-manzanar,Los Angeles,CA,Freeport,IL,1943-08-04 00:00:00,33.973951,-118.248405,42.323529,-89.591606
manzanar1-2132,7-manzanar,Los Angeles,CA,Chicago,IL,1945-04-12 00:00:00,33.973951,-118.248405,41.88531,-87.62213
manzanar1-2133,7-manzanar,Los Angeles,CA,Chicago,IL,1945-04-12 00:00:00,33.973951,-118.248405,41.88531,-87.62213
manzanar1-2134,7-manzanar,Los Angeles,CA,Ann Arbor,MI,1943-06-23 00:00:00,33.973951,-118.248405,42.266638,-83.849042
manzanar1-2139,7-manzanar,West Los Angeles,CA,West Los Angeles,CA,1945-09-26 00:00:00,34.046399,-118.448135,34.046399,-118.448135
manzanar1-2140,7-manzanar,West Los Angeles,CA,West Los Angeles,CA,1945-09-26 00:00:00,34.046399,-118.448135,34.046399,-118.448135
manzanar1-2141,7-manzanar,,,West Los Angeles,CA,1945-09-26 00:00:00,,,34.046399,-118.448135
manzanar1-2142,7-manzanar,,,West Los Angeles,CA,1945-09-26 00:00:00,,,34.046399,-118.448135
manzanar1-2147,7-manzanar,West Los Angeles,CA,West Los Angeles,CA,1945-10-25 00:00:00,34.046399,-118.448135,34.046399,-118.448135
manzanar1-2148,7-manzanar,West Los Angeles,CA,Reno,NV,1942-11-29 00:00:00,34.046399,-118.448135,39.525749,-119.813051
manzanar1-2150,7-manzanar,Los Angeles,CA,Los Angeles,CA,1945-10-18 00:00:00,33.973951,-118.248405,33.973951,-118.248405
manzanar1-2151,7-manzanar,Los Angeles,CA,Los Angeles,CA,1945-10-18 00:00:00,33.973951,-118.248405,33.973951,-118.248405
manzanar1-2153,7-manzanar,Los Angeles,CA,El Segundo,CA,1945-11-20 00:00:00,33.973951,-118.248405,33.91918,-118.41647
manzanar1-2161,7-manzanar,Los Angeles,CA,Los Angeles,CA,1945-11-06 00:00:00,33.973951,-118.248405,33.973951,-118.248405
manzanar1-2162,7-manzanar,Los Angeles,CA,Los Angeles,CA,1945-10-15 00:00:00,33.973951,-118.248405,33.973951,-118.248405
manzanar1-2163,7-manzanar,Los Angeles,CA,Cincinnati,OH,1944-09-06 00:00:00,33.973951,-118.248405,39.166759,-84.53822
manzanar1-2164,7-manzanar,Los Angeles,CA,Ft. Douglas,UT,1945-06-01 00:00:00,33.973951,-118.248405,,
manzanar1-2165,7-manzanar,San Ferdo,CA,San Fernando,CA,1945-10-06 00:00:00,39.58988,-122.449991,33.786594,-118.298662
manzanar1-2166,7-manzanar,San Ferdo,CA,Freeport,IL,1943-03-14 00:00:00,39.58988,-122.449991,42.323529,-89.591606
manzanar1-2167,7-manzanar,San Ferdo,CA,Freeport,IL,1943-05-14 00:00:00,39.58988,-122.449991,42.323529,-89.591606
manzanar1-2171,7-manzanar,North Hollywood,CA,Chicago,IL,1944-06-19 00:00:00,34.1692,-118.372498,41.88531,-87.62213
manzanar1-2173,7-manzanar,San Ferdo,CA,San Fernando,CA,1945-11-12 00:00:00,39.58988,-122.449991,33.786594,-118.298662
manzanar1-2174,7-manzanar,San Ferdo,CA,San Fernando,CA,1945-11-12 00:00:00,39.58988,-122.449991,33.786594,-118.298662
manzanar1-2175,7-manzanar,San Ferdo,CA,San Fernando,CA,1945-10-23 00:00:00,39.58988,-122.449991,33.786594,-118.298662
manzanar1-2176,7-manzanar,San Ferdo,CA,San Fernando,CA,1945-11-21 00:00:00,39.58988,-122.449991,33.786594,-118.298662
manzanar1-2177,7-manzanar,San Ferdo,CA,Chicago,IL,1943-01-15 00:00:00,39.58988,-122.449991,41.88531,-87.62213
manzanar1-2179,7-manzanar,Los Angeles,CA,Los Angeles,CA,1945-09-22 00:00:00,33.973951,-118.248405,33.973951,-118.248405
manzanar1-2180,7-manzanar,Los Angeles,CA,Los Angeles,CA,1945-09-22 00:00:00,33.973951,-118.248405,33.973951,-118.248405
manzanar1-2181,7-manzanar,Los Angeles,CA,Los Angeles,CA,1945-09-22 00:00:00,33.973951,-118.248405,33.973951,-118.248405
manzanar1-2182,7-manzanar,Los Angeles,CA,Los Angeles,CA,1945-09-22 00:00:00,33.973951,-118.248405,33.973951,-118.248405
manzanar1-2183,7-manzanar,Los Angeles,CA,Los Angeles,CA,1945-11-07 00:00:00,33.973951,-118.248405,33.973951,-118.248405
manzanar1-2184,7-manzanar,Los Angeles,CA,Los Angeles,CA,1945-10-19 00:00:00,33.973951,-118.248405,33.973951,-118.248405
manzanar1-2186,7-manzanar,Los Angeles,CA,New York,NY,1944-05-10 00:00:00,33.973951,-118.248405,40.750422,-73.996328
manzanar1-2187,7-manzanar,Santa Monica,CA,Salt Lake City,UT,1945-11-02 00:00:00,34.013666,-118.49375,40.756095,-111.900719
manzanar1-2188,7-manzanar,Santa Monica,CA,Salt Lake City,UT,1945-11-02 00:00:00,34.013666,-118.49375,40.756095,-111.900719
manzanar1-2189,7-manzanar,Santa Monica,CA,Salt Lake City,UT,1945-11-02 00:00:00,34.013666,-118.49375,40.756095,-111.900719
manzanar1-2190,7-manzanar,Santa Monica,CA,Salt Lake City,UT,1945-11-02 00:00:00,34.013666,-118.49375,40.756095,-111.900719
manzanar1-2191,7-manzanar,Santa Monica,CA,Salt Lake City,UT,1945-11-02 00:00:00,34.013666,-118.49375,40.756095,-111.900719
manzanar1-2204,7-manzanar,Los Angeles,CA,Burley,ID,1943-12-27 00:00:00,33.973951,-118.248405,42.399472,-113.848558
manzanar1-2205,7-manzanar,Pico,CA,Burley,ID,1944-04-04 00:00:00,39.43906,-120.998008,42.399472,-113.848558
manzanar1-2206,7-manzanar,Los Angeles,CA,Burley,ID,1944-02-28 00:00:00,33.973951,-118.248405,42.399472,-113.848558
manzanar1-2228,7-manzanar,North Hollywood,CA,Spokane,WA,1944-11-09 00:00:00,34.1692,-118.372498,47.66264,-117.435997
manzanar1-2229,7-manzanar,North Hollywood,CA,Coldwell,ID,1945-05-28 00:00:00,34.1692,-118.372498,43.661908,-116.65629
manzanar1-2230,7-manzanar,North Hollywood,CA,Coldwell,ID,1945-05-28 00:00:00,34.1692,-118.372498,43.661908,-116.65629
manzanar1-2231,7-manzanar,North Hollywood,CA,Coldwell,ID,1945-05-28 00:00:00,34.1692,-118.372498,43.661908,-116.65629
manzanar1-2232,7-manzanar,North Hollywood,CA,Coldwell,ID,1945-05-28 00:00:00,34.1692,-118.372498,43.661908,-116.65629
manzanar1-2233,7-manzanar,Los Angeles,CA,Burbank,CA,1945-11-14 00:00:00,33.973951,-118.248405,34.200993,-118.292773
manzanar1-2235,7-manzanar,Los Angeles,CA,Bridgeton,NJ,1944-11-13 00:00:00,33.973951,-118.248405,39.3762,-75.1617
manzanar1-2236,7-manzanar,Los Angeles,CA,Los Angeles,CA,1945-05-17 00:00:00,33.973951,-118.248405,33.973951,-118.248405
manzanar1-2238,7-manzanar,,,Los Angeles,CA,1945-05-17 00:00:00,,,33.973951,-118.248405
manzanar1-2239,7-manzanar,,,Los Angeles,CA,1945-05-17 00:00:00,,,33.973951,-118.248405
manzanar1-2244,7-manzanar,Terminal Island,CA,Long Beach,CA,1945-10-16 00:00:00,40.026261,-123.490301,33.804309,-118.200957
manzanar1-2245,7-manzanar,Terminal Island,CA,Long Beach,CA,1945-10-16 00:00:00,40.026261,-123.490301,33.804309,-118.200957
manzanar1-2254,7-manzanar,Riverside,CA,Riverside,CA,1945-10-09 00:00:00,33.99504,-117.373184,33.99504,-117.373184
