far_id,camp,pre_city,pre_state,dest_city,dest_state,date_of_final_departure,pre_lat,pre_lng,dest_lat,dest_lng
minidoka1-7692,8-minidoka,Seattle,WA,Seattle,WA,1945-08-20 00:00:00,47.432251,-121.803388,47.432251,-121.803388
minidoka1-7693,8-minidoka,Seattle,WA,Minneapolis,MN,1945-04-12 00:00:00,47.432251,-121.803388,44.984577,-93.269097
minidoka1-7694,8-minidoka,Seattle,WA,Seattle,WA,1945-08-20 00:00:00,47.432251,-121.803388,47.432251,-121.803388
minidoka1-7695,8-minidoka,Seattle,WA,Seattle,WA,1945-08-20 00:00:00,47.432251,-121.803388,47.432251,-121.803388
minidoka1-7696,8-minidoka,Seattle,WA,Seattle,WA,1945-08-20 00:00:00,47.432251,-121.803388,47.432251,-121.803388
minidoka1-7697,8-minidoka,Seattle,WA,Burley,ID,1944-03-12 00:00:00,47.432251,-121.803388,42.399472,-113.848558
minidoka1-7698,8-minidoka,Seattle,WA,Chicago,IL,1943-06-16 00:00:00,47.432251,-121.803388,41.88531,-87.62213
minidoka1-7699,8-minidoka,Seattle,WA,Salt Lake City,UT,1945-05-28 00:00:00,47.432251,-121.803388,40.756095,-111.900719
minidoka1-7700,8-minidoka,Sumner,WA,Kenosha,WI,1945-01-17 00:00:00,47.066193,-122.113223,42.622449,-87.830375
minidoka1-7701,8-minidoka,Sumner,WA,Kenosha,WI,1945-03-20 00:00:00,47.066193,-122.113223,42.622449,-87.830375
minidoka1-7702,8-minidoka,Sumner,WA,Kenosha,WI,1945-03-20 00:00:00,47.066193,-122.113223,42.622449,-87.830375
minidoka1-7703,8-minidoka,Sumner,WA,Kenosha,WI,1945-03-20 00:00:00,47.066193,-122.113223,42.622449,-87.830375
minidoka1-7704,8-minidoka,Sumner,WA,Kenosha,WI,1945-03-20 00:00:00,47.066193,-122.113223,42.622449,-87.830375
minidoka1-7705,8-minidoka,Sumner,WA,Kenosha,WI,1945-03-20 00:00:00,47.066193,-122.113223,42.622449,-87.830375
minidoka1-7706,8-minidoka,Sumner,WA,Kenosha,WI,1945-03-20 00:00:00,47.066193,-122.113223,42.622449,-87.830375
minidoka1-7707,8-minidoka,Sumner,WA,Ft. Douglas,UT,1943-05-06 00:00:00,47.066193,-122.113223,,
minidoka1-7708,8-minidoka,Sumner,WA,Chicago,IL,1944-04-24 00:00:00,47.066193,-122.113223,41.88531,-87.62213
minidoka1-7709,8-minidoka,Winslow,WA,Winslow,WA,1945-08-29 00:00:00,,,,
minidoka1-7710,8-minidoka,Eatonville,WA,Hazelton,ID,1945-10-15 00:00:00,46.904844,-122.30141,42.596069,-114.071311
minidoka1-7711,8-minidoka,Eatonville,WA,Hazelton,ID,1945-10-15 00:00:00,46.904844,-122.30141,42.596069,-114.071311
minidoka1-7712,8-minidoka,,,Hazelton,ID,1945-10-15 00:00:00,,,42.596069,-114.071311
minidoka1-7713,8-minidoka,Seattle,WA,New York,NY,1945-07-26 00:00:00,47.432251,-121.803388,40.750422,-73.996328
minidoka1-7714,8-minidoka,Seattle,WA,New York,NY,1945-07-26 00:00:00,47.432251,-121.803388,40.750422,-73.996328
minidoka1-7715,8-minidoka,Seattle,WA,New York,NY,1945-07-26 00:00:00,47.432251,-121.803388,40.750422,-73.996328
