far_id,camp,pre_city,pre_state,dest_city,dest_state,date_of_final_departure,pre_lat,pre_lng,dest_lat,dest_lng
tulelake1-18541,10-tulelake,Walnut Grove,CA,Wal Grv,CA,1945-11-07 00:00:00,38.2559,-121.50835,,
tulelake1-18542,10-tulelake,Gardena,CA,Japan,JAPAN,1945-12-27 00:00:00,33.888315,-118.295256,35.662,139.653
tulelake1-18543,10-tulelake,Los Angeles,CA,LA,CA,1946-01-09 00:00:00,33.973951,-118.248405,33.973951,-118.248405
tulelake1-18544,10-tulelake,Sacramento,CA,Kans Cty,MI,1943-07-26 00:00:00,38.380456,-121.555406,44.844176,-85.660493
tulelake1-18545,10-tulelake,Sacramento,CA,Columbus,OH,1945-10-18 00:00:00,38.380456,-121.555406,40.100924,-83.013402
tulelake1-18546,10-tulelake,Stockton,CA,LA,CA,1945-12-20 00:00:00,37.672196,-121.298794,33.973951,-118.248405
tulelake1-18547,10-tulelake,Walnut Grove,CA,Wal Grv,CA,1946-03-13 00:00:00,38.2559,-121.50835,,
tulelake1-18548,10-tulelake,Walnut Grove,CA,Sacto,CA,1946-03-06 00:00:00,38.2559,-121.50835,,
tulelake1-18551,10-tulelake,Walnut Grove,CA,Wal Grv,CA,1946-01-13 00:00:00,38.2559,-121.50835,,
tulelake1-18552,10-tulelake,Walnut Grove,CA,Japan,JAPAN,1945-12-27 00:00:00,38.2559,-121.50835,35.662,139.653
tulelake1-18553,10-tulelake,Los Angeles,CA,Alameda,CA,1946-02-27 00:00:00,33.973951,-118.248405,37.770563,-122.264779
tulelake1-18555,10-tulelake,Los Angeles,CA,LA,CA,1946-03-15 00:00:00,33.973951,-118.248405,33.973951,-118.248405
tulelake1-18556,10-tulelake,Los Angeles,CA,LA,CA,1946-01-09 00:00:00,33.973951,-118.248405,33.973951,-118.248405
tulelake1-18557,10-tulelake,Sacramento,CA,Sacto,CA,1945-10-18 00:00:00,38.380456,-121.555406,,
tulelake1-18559,10-tulelake,Sacramento,CA,Florin,CA,1946-02-14 00:00:00,38.380456,-121.555406,39.902424,-122.491767
tulelake1-18562,10-tulelake,Walnut Grove,CA,Spokane,WA,1946-03-14 00:00:00,38.2559,-121.50835,47.66264,-117.435997
tulelake1-18564,10-tulelake,Ridgefield,WA,Japan,JAPAN,1945-11-23 00:00:00,45.81512,-122.7426,35.662,139.653
tulelake1-18565,10-tulelake,Arcadia,CA,Belvedere,CA,1945-12-07 00:00:00,34.136258,-118.026704,34.040568,-118.169238
