far_id,camp,pre_city,pre_state,dest_city,dest_state,date_of_final_departure,pre_lat,pre_lng,dest_lat,dest_lng
granada1-8783,4-amache,Broderick,CA,Orland,CA,1945-10-15 00:00:00,37.155177,-119.543418,39.74738,-122.19637
granada1-8784,4-amache,Broderick,CA,Orland,CA,1945-10-15 00:00:00,37.155177,-119.543418,39.74738,-122.19637
granada1-8785,4-amache,Broderick,CA,Orland,CA,1945-10-15 00:00:00,37.155177,-119.543418,39.74738,-122.19637
granada1-8786,4-amache,Broderick,CA,Orland,CA,1945-10-15 00:00:00,37.155177,-119.543418,39.74738,-122.19637
granada1-8787,4-amache,Broderick,CA,Orland,CA,1945-10-15 00:00:00,37.155177,-119.543418,39.74738,-122.19637
granada1-8788,4-amache,,,Orland,CA,1945-10-15 00:00:00,,,39.74738,-122.19637
granada1-8789,4-amache,Broderick,CA,Orland,CA,1945-09-14 00:00:00,37.155177,-119.543418,39.74738,-122.19637
granada1-8790,4-amache,Broderick,CA,Orland,CA,1945-09-14 00:00:00,37.155177,-119.543418,39.74738,-122.19637
granada1-8791,4-amache,Broderick,CA,Denver,CO,1945-07-17 00:00:00,37.155177,-119.543418,39.760189,-104.996553
granada1-8792,4-amache,Broderick,CA,Orland,CA,1945-09-14 00:00:00,37.155177,-119.543418,39.74738,-122.19637
granada1-8793,4-amache,Broderick,CA,Orland,CA,1945-09-14 00:00:00,37.155177,-119.543418,39.74738,-122.19637
granada1-8794,4-amache,Broderick,CA,Orland,CA,1945-09-14 00:00:00,37.155177,-119.543418,39.74738,-122.19637
granada1-8797,4-amache,Marysville,CA,Rockford,IL,1943-08-04 00:00:00,39.14573,-121.59135,42.33342,-89.157198
granada1-8802,4-amache,Livingston,CA,Ft. Logan,CO,1943-05-21 00:00:00,37.358769,-120.750082,,
granada1-8803,4-amache,Livingston,CA,Albia,IA,1945-03-15 00:00:00,37.358769,-120.750082,41.00004,-92.835186
granada1-8804,4-amache,Minneapolis,MN,Albia,IA,1945-03-15 00:00:00,44.984577,-93.269097,41.00004,-92.835186
granada1-8805,4-amache,Los Angeles,CA,Los Angeles,CA,1945-10-02 00:00:00,33.973951,-118.248405,33.973951,-118.248405
granada1-8806,4-amache,Los Angeles,CA,Los Angeles,CA,1945-10-02 00:00:00,33.973951,-118.248405,33.973951,-118.248405
granada1-8807,4-amache,Marysville,CA,Marysville,CA,1945-10-14 00:00:00,39.14573,-121.59135,39.14573,-121.59135
granada1-8808,4-amache,Walnut Grove,CA,St. Paul,MN,1945-09-06 00:00:00,38.2559,-121.50835,44.951483,-93.090649
granada1-8809,4-amache,Walnut Grove,CA,St. Paul,MN,1945-09-06 00:00:00,38.2559,-121.50835,44.951483,-93.090649
granada1-8810,4-amache,Walnut Grove,CA,St. Paul,MN,1944-09-06 00:00:00,38.2559,-121.50835,44.951483,-93.090649
granada1-8811,4-amache,Tudor,CA,Sacramento,CA,1945-09-12 00:00:00,37.155177,-119.543418,38.380456,-121.555406
granada1-8816,4-amache,Terminal Island,CA,Spokane,WA,9/27/1945,40.026261,-123.490301,47.66264,-117.435997
granada1-8817,4-amache,Terminal Island,CA,Spokane,WA,9/27/1945,40.026261,-123.490301,47.66264,-117.435997
granada1-8818,4-amache,Terminal Island,CA,Spokane,WA,9/27/1945,40.026261,-123.490301,47.66264,-117.435997
granada1-8819,4-amache,,,Spokane,WA,9/27/1945,,,47.66264,-117.435997
granada1-8820,4-amache,Sacramento,CA,San Francisco,CA,9/12/1945,38.380456,-121.555406,37.776646,-122.417481
granada1-8828,4-amache,Los Angeles,CA,Ft. Logan,CO,7/15/1943,33.973951,-118.248405,,
granada1-8829,4-amache,Los Angeles,CA,Laramie,WY,2/9/1944,33.973951,-118.248405,41.43902,-105.801022
