"rowid","a","far_id","camp","pre-evacuation_address","pre-evacuation_state","final_departure_destination","final_departure_state","date_of_final_departure","departure_latitude","departure_longitude","preevacuation_latitude","preevacuation_longitude"
78721,98651,"jerome1-860","6-jerome","San Pedro","CA","Detroit","MI","1943-09-08 00:00:00",42.347021,-83.060184,33.753088,-118.253053
78722,98652,"jerome1-861","6-jerome","San Pedro","CA","Chicago","IL","1943-07-19 00:00:00",41.88531,-87.62213,33.753088,-118.253053
78723,98661,"jerome1-870","6-jerome","Los Angeles","CA","Chicago","IL","1944-04-17 00:00:00",41.88531,-87.62213,33.973951,-118.248405
78724,98666,"jerome1-875","6-jerome","Sacramento","CA","Salt Lake City","UT","1944-01-16 00:00:00",40.756095,-111.900719,38.380456,-121.555406
78725,98667,"jerome1-876","6-jerome","Sacramento","CA","Salt Lake City","UT","1944-01-16 00:00:00",40.756095,-111.900719,38.380456,-121.555406
78726,98675,"jerome1-884","6-jerome","Hanford","CA","Cleveland","OH","1943-09-09 00:00:00",41.489381,-81.667486,36.220468,-119.71776
78727,98702,"jerome1-911","6-jerome","Florin","CA","New York","NY","1943-08-20 00:00:00",40.750422,-73.996328,39.902424,-122.491767
78729,98722,"jerome1-931","6-jerome","Long Beach","CA","Ann Arbor","MI","1943-06-14 00:00:00",42.266638,-83.849042,33.804309,-118.200957
78730,98742,"jerome1-951","6-jerome","Hanford","CA","Cleveland","OH","1944-04-23 00:00:00",41.489381,-81.667486,36.220468,-119.71776
78732,98767,"jerome1-976","6-jerome","Wilmington","CA","Caramie","WY","1943-06-22 00:00:00",0,0,33.779417,-118.253853
78733,98768,"jerome1-977","6-jerome","Wilmington","CA","Washington","DC","1944-01-18 00:00:00",38.911936,-77.016719,33.779417,-118.253853
78734,98782,"jerome1-991","6-jerome","Fresno","CA","Chicago","IL","1944-06-07 00:00:00",41.88531,-87.62213,36.8411,-119.801015
78735,98799,"jerome1-1008","6-jerome","Sacramento","CA","Shaker Heights","OH","1943-09-17 00:00:00",41.473947,-81.579956,38.380456,-121.555406
78737,98826,"jerome1-1035","6-jerome","Auburn","CA","Salt Lake City","UT","1944-04-07 00:00:00",40.756095,-111.900719,39.014933,-121.07047
78740,98837,"jerome1-1046","6-jerome","Fresno","CA","Little Rock","AR","1944-06-25 00:00:00",34.746905,-92.280049,36.8411,-119.801015
78741,98838,"jerome1-1047","6-jerome","Fresno","CA","Toledo","OH","1944-01-25 00:00:00",41.720684,-83.569359,36.8411,-119.801015
78743,98846,"jerome1-1055","6-jerome","Long Beach","CA","Cleveland","OH","1943-08-10 00:00:00",41.489381,-81.667486,33.804309,-118.200957
78745,98868,"jerome1-1077","6-jerome","Los Angeles","CA","Chicago","IL","1943-04-28 00:00:00",41.88531,-87.62213,33.973951,-118.248405
