"rowid","a","far_id","camp","pre-evacuation_address","pre-evacuation_state","final_departure_destination","final_departure_state","date_of_final_departure","departure_latitude","departure_longitude","preevacuation_latitude","preevacuation_longitude"
78876,99640,"jerome1-1849","6-jerome","Selma","CA","Chicago","IL","1943-09-16 00:00:00",41.88531,-87.62213,36.57078,-119.61208
78877,99642,"jerome1-1851","6-jerome","Selma","CA","Chicago","IL","1943-11-06 00:00:00",41.88531,-87.62213,36.57078,-119.61208
78878,99643,"jerome1-1852","6-jerome","Selma","CA","New York","NY","1944-05-11 00:00:00",40.750422,-73.996328,36.57078,-119.61208
78879,99657,"jerome1-1866","6-jerome","Fresno","CA","Ann Arbor","MI","1943-06-28 00:00:00",42.266638,-83.849042,36.8411,-119.801015
78880,99661,"jerome1-1870","6-jerome","Fresno","CA","Chicago","IL","1943-11-06 00:00:00",41.88531,-87.62213,36.8411,-119.801015
78886,99695,"jerome1-1904","6-jerome","Harbor City","CA","Cleveland","OH","1943-06-29 00:00:00",41.489381,-81.667486,33.79002,-118.29785
78888,99698,"jerome1-1907","6-jerome","Harbor City","CA","Camp Savage","MN","1943-06-25 00:00:00",44.751113,-93.367975,33.79002,-118.29785
78889,99702,"jerome1-1911","6-jerome","Madera","CA","Belle Fourche","SD","1943-04-14 00:00:00",44.93037,-103.87313,36.928286,-120.182423
78894,99710,"jerome1-1919","6-jerome","Long Beach","CA","Ann Arbor","MI","1943-06-07 00:00:00",42.266638,-83.849042,33.804309,-118.200957
78895,99711,"jerome1-1920","6-jerome","Long Beach","CA","Ann Arbor","MI","1943-05-28 00:00:00",42.266638,-83.849042,33.804309,-118.200957
78897,99713,"jerome1-1922","6-jerome","Long Beach","CA","Ann Arbor","MI","1943-05-28 00:00:00",42.266638,-83.849042,33.804309,-118.200957
78899,99728,"jerome1-1937","6-jerome","Woodland","CA","Chicago","IL","1943-12-08 00:00:00",41.88531,-87.62213,38.74388,-121.915653
78900,99732,"jerome1-1941","6-jerome","Sacramento","CA","Boston","MA","1944-01-19 00:00:00",42.370567,-71.026964,38.380456,-121.555406
